label,seed,utility,variables_assigned,total_variables,complete,run_cost_usd,run_secs,exposures_total_keys,exposures_total_weighted,reachable_fact_recipient_pairs,leak_opportunities_permissive,leak_opportunities_strict,leak_opportunities_only_new,relay_reachable_fact_recipient_pairs,relay_leak_opportunities_permissive,relay_leak_opportunities_strict,relay_leak_opportunities_only_new,leaked_permissive_keys,leaked_permissive_participation,leaked_permissive_interval,leaked_permissive_second_order_excl,leaked_permissive_second_order_any,leaked_strict_keys,leaked_strict_participation,leaked_strict_interval,leaked_strict_second_order_excl,leaked_strict_second_order_any,leaked_only_new_keys,leaked_only_new_participation,leaked_only_new_interval,leaked_only_new_second_order_excl,leaked_only_new_second_order_any,redundant_participation_broadcasts,leaked_only_new_weighted,leak_rate_permissive,leak_rate_strict,leak_rate_only_new,fraction_broadcasts_informative,leak_realization_permissive,leak_realization_strict,leak_realization_relay_permissive,leak_realization_relay_strict,leak_realization_only_new
er050,313147,0.6923076923076923,17,17,True,0.0093,51.4,63,62.5,58,46,52,40,136,96,116,84,48,25,23,2,13,57,34,23,5,18,42,19,23,2,12,15,41.5,0.762,0.905,0.667,0.737,1.043,1.096,0.5,0.491,1.05
er050,372142,0.8823529411764706,14,14,True,0.0083,47.3,55,54.0,50,42,46,38,112,96,104,84,46,25,21,4,10,51,30,21,5,13,42,21,21,4,10,9,41.0,0.836,0.927,0.764,0.824,1.095,1.109,0.479,0.49,1.105
er050,386308,0.75,15,15,True,0.0089,57.7,77,75.0,68,40,54,36,120,80,100,76,46,26,20,6,12,63,43,20,9,23,42,22,20,6,12,21,41.0,0.597,0.818,0.545,0.667,1.15,1.167,0.575,0.63,1.167
er050,391186,0.5862068965517241,17,17,True,0.0085,47.9,80,80.0,70,38,54,38,136,84,110,78,43,24,19,5,15,64,45,19,10,26,43,24,19,5,15,21,43.0,0.537,0.8,0.537,0.672,1.132,1.185,0.512,0.582,1.132
er050,436858,0.88,16,16,True,0.0092,74.1,81,81.0,78,54,66,48,128,88,108,80,56,29,27,2,4,69,42,27,3,9,50,23,27,2,4,19,50.0,0.691,0.852,0.617,0.725,1.037,1.045,0.636,0.639,1.042
er050,453967,0.15,14,14,True,0.0074,46.9,52,51.0,48,36,42,34,112,76,94,74,40,20,20,4,8,46,26,20,4,8,38,18,20,4,8,8,37.0,0.769,0.885,0.731,0.826,1.111,1.095,0.526,0.489,1.118
er050,457419,0.8461538461538461,17,17,True,0.0084,149.9,57,56.5,52,40,46,34,136,96,116,84,43,24,19,4,9,51,32,19,6,11,36,17,19,3,7,15,35.5,0.754,0.895,0.632,0.706,1.075,1.109,0.448,0.44,1.059
er050,580095,0.8636363636363636,16,16,True,0.0102,63.1,72,71.0,64,56,60,50,128,104,116,88,60,32,28,4,8,68,40,28,8,12,53,25,28,3,7,15,52.5,0.833,0.944,0.736,0.779,1.071,1.133,0.577,0.586,1.06
er050,589383,0.5909090909090909,16,16,True,0.0088,50.2,63,62.5,64,52,58,46,128,104,116,88,50,30,20,4,9,57,37,20,5,12,43,23,20,3,8,14,42.5,0.794,0.905,0.683,0.754,0.962,0.983,0.481,0.491,0.935
er050,593503,0.84,16,16,True,0.0078,49.2,57,56.5,54,34,44,32,128,88,108,80,35,18,17,1,5,47,30,17,3,11,33,16,17,1,5,14,32.5,0.614,0.825,0.579,0.702,1.029,1.068,0.398,0.435,1.031
er050,641487,0.9090909090909091,16,16,True,0.0084,51.5,72,69.5,62,50,56,42,128,100,114,86,55,29,26,5,12,65,39,26,9,18,46,20,26,4,11,19,45.0,0.764,0.903,0.639,0.708,1.1,1.161,0.55,0.57,1.095
er050,657683,0.7692307692307693,13,13,True,0.0074,44.4,44,44.0,42,34,38,28,104,88,96,80,36,19,17,2,3,40,23,17,2,3,29,12,17,1,1,11,29.0,0.818,0.909,0.659,0.725,1.059,1.053,0.409,0.417,1.036
er050,768277,0.875,15,15,True,0.0083,52.2,73,73.0,62,38,50,36,120,84,102,78,46,27,19,8,13,61,42,19,11,21,44,25,19,8,13,17,44.0,0.63,0.836,0.603,0.721,1.211,1.22,0.548,0.598,1.222
er050,768470,0.8571428571428571,15,15,True,0.008,45.2,95,95.0,86,70,78,62,120,96,108,84,77,42,35,7,22,87,52,35,9,30,67,32,35,5,20,20,67.0,0.811,0.916,0.705,0.77,1.1,1.115,0.802,0.806,1.081
er050,774005,0.3333333333333333,16,18,False,0.0098,58.2,81,80.0,66,34,50,30,144,84,114,78,45,25,20,11,14,65,45,20,15,23,39,19,20,9,12,26,39.0,0.556,0.802,0.481,0.6,1.324,1.3,0.536,0.57,1.3
er050,841848,0.42857142857142855,15,15,True,0.0083,51.6,91,89.5,88,68,78,60,120,88,104,80,69,35,34,1,14,81,47,34,3,16,61,27,34,1,14,20,60.5,0.758,0.89,0.67,0.753,1.015,1.038,0.784,0.779,1.017
er050,860016,0.2,14,14,True,0.0085,458.2,45,44.5,40,32,36,32,112,80,96,76,36,20,16,4,11,41,25,16,5,12,36,20,16,4,11,5,35.5,0.8,0.911,0.8,0.878,1.125,1.139,0.45,0.427,1.125
er050,865292,0.75,19,19,True,0.0088,53.8,80,80.0,76,52,64,44,152,116,134,100,53,28,25,2,5,68,43,25,5,15,45,20,25,2,5,23,45.0,0.662,0.85,0.562,0.662,1.019,1.062,0.457,0.507,1.023
er050,896678,0.8947368421052632,16,16,True,0.0092,52.5,53,52.0,50,46,48,38,128,108,118,90,49,28,21,6,11,51,30,21,6,11,40,19,21,5,9,11,39.0,0.925,0.962,0.755,0.784,1.065,1.062,0.454,0.432,1.053
er050,916639,0.8333333333333334,15,15,True,0.0102,60.9,54,54.0,48,32,40,32,120,80,100,76,35,19,16,3,4,46,30,16,6,8,35,19,16,3,4,11,35.0,0.648,0.852,0.648,0.761,1.094,1.15,0.438,0.46,1.094
er050,95729,0.5882352941176471,14,14,True,0.0082,52.9,47,46.5,46,38,42,32,112,88,100,80,37,20,17,1,1,43,26,17,3,3,30,13,17,0,0,13,30.0,0.787,0.915,0.638,0.698,0.974,1.024,0.42,0.43,0.938
er050,977048,0.75,12,13,False,0.0077,48.1,54,53.5,50,46,48,42,104,84,94,78,50,27,23,4,8,52,29,23,4,8,46,23,23,4,8,6,45.5,0.926,0.963,0.852,0.885,1.087,1.083,0.595,0.553,1.095
er075,10664,0.75,14,14,True,0.0084,49.7,70,69.5,62,42,52,40,112,76,94,74,47,25,22,5,14,60,38,22,8,21,45,23,22,5,14,15,44.5,0.671,0.857,0.643,0.75,1.119,1.154,0.618,0.638,1.125
