label,topology,seed,ok,utility,run_secs,run_cost_usd,judge_cost_usd,total_cost_usd,exposures_total_keys,reachable_fact_recipient_pairs,relay_reachable_fact_recipient_pairs,leak_opportunities_permissive,leak_opportunities_strict,relay_leak_opportunities_permissive,relay_leak_opportunities_strict,leaked_permissive_keys,leaked_strict_keys,leaked_permissive_participation,leaked_permissive_interval,leaked_strict_participation,leaked_strict_interval,leak_rate_permissive,leak_rate_strict,leak_realization_permissive,leak_realization_strict,leak_realization_relay_permissive,leak_realization_relay_strict,leaked_permissive_second_order_excl,leaked_permissive_second_order_any,leaked_strict_second_order_excl,leaked_strict_second_order_any
ring,watts_strogatz,774005,True,0.6364,79.9,0.01,0.0052,0.0152,79,72,144,40,56,84,114,42,63,22,20,43,20,0.532,0.797,1.05,1.125,0.5,0.553,2,6,7,13
ring,watts_strogatz,768470,True,0.8571,67.4,0.0094,0.0039,0.0133,60,60,120,48,54,96,108,48,54,24,24,30,24,0.8,0.9,1.0,1.0,0.5,0.5,0,0,0,0
ring,watts_strogatz,95729,True,0.5882,60.8,0.0089,0.0036,0.0126,60,56,112,52,54,88,100,56,58,28,28,30,28,0.933,0.967,1.077,1.074,0.636,0.58,4,4,4,4
star,star,436858,True,0.72,60.8,0.0099,0.0041,0.014,44,44,128,40,42,88,108,40,42,20,20,22,20,0.909,0.955,1.0,1.0,0.455,0.389,0,4,0,4
star,star,768277,True,0.7917,62.5,0.0095,0.0046,0.0141,56,54,120,30,42,84,102,30,43,15,15,28,15,0.536,0.768,1.0,1.024,0.357,0.422,0,0,1,2
star,star,10664,True,0.65,57.9,0.0096,0.0031,0.0127,52,52,112,36,44,76,94,36,44,18,18,26,18,0.692,0.846,1.0,1.0,0.474,0.468,0,0,0,0
star,star,860016,True,0.1,1010.3,0.0081,0.0023,0.0105,36,34,112,26,30,80,96,26,31,13,13,18,13,0.722,0.861,1.0,1.033,0.325,0.323,0,0,1,2
star,star,865292,True,0.75,52.2,0.0085,0.0033,0.0118,62,62,152,38,50,116,134,37,50,19,18,32,18,0.597,0.806,0.974,1.0,0.319,0.373,0,0,1,1
star,star,841848,True,0.4286,56.9,0.0093,0.0042,0.0135,50,48,120,36,42,88,104,37,44,19,18,26,18,0.74,0.88,1.028,1.048,0.42,0.423,1,1,2,2
star,star,313147,True,0.6923,1015.8,0.0094,0.0037,0.0132,55,52,136,36,44,96,116,36,47,18,18,29,18,0.655,0.855,1.0,1.068,0.375,0.405,0,4,3,8
star,star,896678,True,0.8947,170.9,0.0096,0.0057,0.0153,67,62,128,50,56,108,118,52,60,27,25,35,25,0.776,0.896,1.04,1.071,0.481,0.508,2,8,4,11
star,star,386308,True,0.75,55.2,0.0088,0.004,0.0128,54,54,120,34,44,80,100,34,44,17,17,27,17,0.63,0.815,1.0,1.0,0.425,0.44,0,3,0,4
star,star,977048,True,0.875,54.1,0.0084,0.0038,0.0121,50,50,104,34,42,84,94,34,42,17,17,25,17,0.68,0.84,1.0,1.0,0.405,0.447,0,2,0,2
star,star,203069,True,0.5294,384.8,0.0077,0.0025,0.0102,48,46,112,38,42,92,102,39,44,20,19,25,19,0.812,0.917,1.026,1.048,0.424,0.431,1,1,2,2
star,star,283373,True,0.8235,57.9,0.0085,0.003,0.0115,46,46,112,38,42,92,102,38,42,19,19,23,19,0.826,0.913,1.0,1.0,0.413,0.412,0,0,0,0
star,star,593503,True,1.0,334.3,0.0086,0.0035,0.0121,63,62,128,42,52,88,108,42,53,21,21,32,21,0.667,0.841,1.0,1.019,0.477,0.491,0,0,1,1
star,star,457419,True,0.8462,53.8,0.0086,0.0033,0.0119,56,52,136,40,46,96,116,42,49,21,21,28,21,0.75,0.875,1.05,1.065,0.438,0.422,2,2,3,3
star,star,169542,True,0.7826,1012.2,0.0084,0.0032,0.0116,46,46,136,42,44,108,122,42,44,21,21,23,21,0.913,0.957,1.0,1.0,0.389,0.361,0,0,0,0
